NAME,PRICE,WATCHERS
"1879-CC $1, Morgan Dollar, PCGS MS65DMPL, POP 2/0 Rare Coin","$90,000.00",https://i.ebayimg.com/thumbs/images/g/ZusAAOSwezJmBJqz/s-l300.jpg
"Nerva, AD 96-98 SYRIA, ANTIOCH AR Tetradrachm, NGC Ch VF",$495.00,https://i.ebayimg.com/thumbs/images/g/a-0AAOSwCkNlCKfk/s-l300.jpg
"1861 $20 Liberty Head, CAC MS64 Rare Coin","$55,000.00",https://i.ebayimg.com/thumbs/images/g/uooAAOSwpKxmDzyc/s-l300.jpg
1892-CC $1 Morgan Dollar PCGS MS65 Rare Coin,"$8,500.00",https://i.ebayimg.com/thumbs/images/g/hDoAAOSwoBVmGYGc/s-l300.jpg
"1797 $10 Large Eagle Draped Bust, PCGS MS61 CAC Rare Coin","$130,000.00",https://i.ebayimg.com/thumbs/images/g/co0AAOSwNoJl1lxA/s-l300.jpg
"1917 $2 US Note- Legal Tender, PCGS Banknote ABOUT UNC 50 PPQ",$495.00,https://i.ebayimg.com/thumbs/images/g/aK0AAOSwbJ1mFFcb/s-l300.jpg
"1796 $1 Small Date, Lg Letters Draped Bust Dollar, NGC AU50 Rare Coin","$13,500.00",https://i.ebayimg.com/thumbs/images/g/K20AAOSw7ARmFxFx/s-l300.jpg
1995 200th Anniversary Eagle Proof Set with BOX/COA,"$1,200.00",https://i.ebayimg.com/thumbs/images/g/c9sAAOSwCy5mNB05/s-l300.jpg
"1893 5 Sov, Victoria, PCGS PR66+DCAM","$230,000.00",https://i.ebayimg.com/thumbs/images/g/xmYAAOSwRCtk6U59/s-l300.jpg
"1879-CC $1 Morgan Dollar, PCGS MS64+, 30th Anniversary Rare Coin","$15,500.00",https://i.ebayimg.com/thumbs/images/g/KdoAAOSw5DVmGI~Z/s-l300.jpg
1929 $100 Bill National Currency Kansas City,$250.00,https://i.ebayimg.com/thumbs/images/g/ph8AAOSwmZpmNCCP/s-l300.jpg
1998-P PCGS PR70DCAM American Silver Eagle $1,$200.00,https://i.ebayimg.com/thumbs/images/g/PPoAAOSwSvtmMYdP/s-l300.jpg
National Collectors Mint 6 Piece Coin Set,$180.00,https://i.ebayimg.com/thumbs/images/g/avAAAOSwjKtmM-0L/s-l300.jpg
1973 Bicentennial Commemorative Silver Medal,$30.00,https://i.ebayimg.com/thumbs/images/g/6gQAAOSwxGZmKtt6/s-l300.jpg
"2012-S $1 San Francisco Proof & Rev Proof, Two Coin Set; NGC PF70 Early Relea...",$300.00,https://i.ebayimg.com/thumbs/images/g/njYAAOSw9jxk5nsW/s-l300.jpg
1928A $10 Federal Reserve Note Cleveland PCGS Currency Choice UNC 63 PPQ,$265.00,https://i.ebayimg.com/thumbs/images/g/NlgAAOSwPHRmDaTS/s-l300.jpg
"1968-D 50C Kennedy Half Dollar, PCGS MS65+, Incredible! Rare Coin",$850.00,https://i.ebayimg.com/thumbs/images/g/wbgAAOSwYXlmCJ2n/s-l300.jpg
Treasury | Bureau of the Mint James Monroe President of the United States Medal,$20.00,https://i.ebayimg.com/thumbs/images/g/p6cAAOSwwWpmKtxB/s-l300.jpg
"1881 $1 Morgan Dollar, PCGS MS66 CAC Rare Coin","$5,250.00",https://i.ebayimg.com/thumbs/images/g/bYcAAOSwHdJmHs6L/s-l300.jpg
"1888 $1, Morgan Dollar, PCGS MS66DMPL CAC Rare Coin","$15,000.00",https://i.ebayimg.com/thumbs/images/g/NSEAAOSwMHJk3-cq/s-l300.jpg
"1878-CC $1 Morgan Dollar, PCGS MS66 Rare Coin","$5,900.00",https://i.ebayimg.com/thumbs/images/g/cNEAAOSwQw1mFxi2/s-l300.jpg
1928A $10 Federal Reserve Note Cleveland PCGS Currency Choice AU 58 PPQ,$175.00,https://i.ebayimg.com/thumbs/images/g/clgAAOSwg1hmDaaP/s-l300.jpg
Treasury | Bureau of the Mint William H. Taft Bronze Medallion,$20.00,https://i.ebayimg.com/thumbs/images/g/KR8AAOSwnUtlzTmt/s-l300.jpg
"Sinatruces, c.93-69 BC PARTHIAN KINGDOM AR Drachm, NGC Ch VF",$250.00,https://i.ebayimg.com/thumbs/images/g/2bIAAOSwDVRlCLSw/s-l300.jpg
"1805 25C Draped Bust Quarter, PCGS VG08, Browning 2 Rare Coin",$895.00,https://i.ebayimg.com/thumbs/images/g/MKMAAOSw9hBmBdUm/s-l300.jpg
"1786 Connct Mailed Bust Left, PCGS GENUINE, Plugged-XF Detail, COLONIAL Rare ...",$295.00,https://i.ebayimg.com/thumbs/images/g/3wcAAOSwy2tl556Y/s-l300.jpg
2018-S Silver Reverse PF70 NGC First Day of Issue Six Coin Set,$275.00,https://i.ebayimg.com/thumbs/images/g/1dQAAOSwk~dl3Q9F/s-l300.jpg
"Set of (3) PCGS MS64 50C Franklin Half Dollar 1954, 1955, 1956",$1.00,https://i.ebayimg.com/thumbs/images/g/4n8AAOSwpC1mO8B7/s-l300.jpg
"1806/5 25C Draped Bust Quarter, PCGS VF30 CAC Rare Coin","$3,250.00",https://i.ebayimg.com/thumbs/images/g/aJgAAOSwNNtmBK9V/s-l300.jpg
"1900 $20 Liberty Head, PCGS MS64+ Rare Coin","$3,900.00",https://i.ebayimg.com/thumbs/images/g/JDgAAOSw3AxjyLIG/s-l300.jpg
"1934 $500 Federal Reserve Note, PCGS Choice AU 58, Fr. 2201-A Sign","$4,250.00",https://i.ebayimg.com/thumbs/images/g/YGcAAOSw9GVl163Q/s-l300.jpg
The Department of the Treasury James K. Polk President of the United States,$20.00,https://i.ebayimg.com/thumbs/images/g/UZsAAOSwNJBmKt6B/s-l300.jpg
"1928-S $1 Peace Dollar, PCGS MS64+ Rare Coin","$3,900.00",https://i.ebayimg.com/thumbs/images/g/jrQAAOSwnLBltZzQ/s-l300.jpg
"1878 7/8TF $1 Strong, Morgan Dollar, PCGS MS65DMPL Rare Coin","$16,750.00",https://i.ebayimg.com/thumbs/images/g/looAAOSw-BdlxT1d/s-l300.jpg
"1915 B 20 Francs, PCGS MS65 Switzerland",$550.00,https://i.ebayimg.com/thumbs/images/g/-~MAAOSwKpRk4AHu/s-l300.jpg
"Vologases IV,c.AD 147-191 PARTHIAN KINGDOM, AR Drachm, NGC Ch AU",$350.00,https://i.ebayimg.com/thumbs/images/g/zdQAAOSwCyllFMhQ/s-l300.jpg
"1882-S $1 Morgan Dollar, PCGS MS68 Rare Coin","$9,000.00",https://i.ebayimg.com/thumbs/images/g/7vQAAOSw0phmHaGR/s-l300.jpg
(25) 1 Gram Platinum PAMP SWISS fully carded uncut sheet,"$1,150.00",https://i.ebayimg.com/thumbs/images/g/LzUAAOSw91Vjl8Iu/s-l300.jpg
"1892-S $20 Liberty Head, PCGS MS65 Rare Coin","$29,500.00",https://i.ebayimg.com/thumbs/images/g/-kkAAOSwb91mIW6E/s-l300.jpg
"1915-S $2.50 Panama-Pacific Gold Commemorative, PCGS MS65+ CAC, Gold Rare Coin","$5,800.00",https://i.ebayimg.com/thumbs/images/g/6dUAAOSw8LBlU9yZ/s-l300.jpg
